#Dirchilet BC  (from fault_mech_DEFORMATION_BC_ST.asc.bc file) 
#Total BC nodes  291
#Node index, name, x, y, z,   value: 
11996  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.169823004280e+03 0.000000000000e+00
12269  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.149705007133e+03 0.000000000000e+00
1063  DISPLACEMENT_Y1 2.017542275930e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
1064  DISPLACEMENT_Y1 2.224110386929e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
1732  DISPLACEMENT_Y1 0.000000000000e+00 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
1733  DISPLACEMENT_Y1 2.017542275930e+01 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
1734  DISPLACEMENT_Y1 4.035084551861e+01 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
1735  DISPLACEMENT_Y1 6.052626827791e+01 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
1736  DISPLACEMENT_Y1 8.070169103721e+01 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
1737  DISPLACEMENT_Y1 1.008771137965e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
1738  DISPLACEMENT_Y1 1.210525365558e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
1739  DISPLACEMENT_Y1 1.412279593151e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
1740  DISPLACEMENT_Y1 1.614033820744e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
1741  DISPLACEMENT_Y1 1.815788048337e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2447  DISPLACEMENT_Y1 2.417707233017e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2448  DISPLACEMENT_Y1 2.611304079105e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2449  DISPLACEMENT_Y1 2.804900925193e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2450  DISPLACEMENT_Y1 2.998497771280e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2451  DISPLACEMENT_Y1 3.192094617368e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2452  DISPLACEMENT_Y1 3.385691463456e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2453  DISPLACEMENT_Y1 3.579288309544e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2454  DISPLACEMENT_Y1 3.772885155631e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2455  DISPLACEMENT_Y1 3.966482001719e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2456  DISPLACEMENT_Y1 4.160078847807e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2457  DISPLACEMENT_Y1 4.353675693895e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2458  DISPLACEMENT_Y1 4.547272539982e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2459  DISPLACEMENT_Y1 4.740869386070e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2460  DISPLACEMENT_Y1 4.934466232158e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2461  DISPLACEMENT_Y1 5.128063078245e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2462  DISPLACEMENT_Y1 5.321659924333e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2463  DISPLACEMENT_Y1 5.515256770421e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2464  DISPLACEMENT_Y1 5.708853616509e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
